in_general_how_worried_are_you_about_earthquakes,how_worried_are_you_about_the_big_one_a_massive_catastrophic_earthquake,do_you_think_the_big_one_will_occur_in_your_lifetime,have_you_ever_experienced_an_earthquake,have_you_or_anyone_in_your_household_taken_any_precautions_for_an_earthquake_packed_an_earthquake_survival_kit_prepared_an_evacuation_plan_etc,how_familiar_are_you_with_the_san_andreas_fault_line,how_familiar_are_you_with_the_yellowstone_supervolcano,age,what_is_your_gender,how_much_total_combined_money_did_all_members_of_your_household_earn_last_year,us_region,total_earthquakes_2010_2015
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,45 - 59,Female,"$50,000 to $74,999",Pacific,10842
Somewhat worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Not so familiar,45 - 59,Female,Prefer not to answer,Pacific,10842
Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,18 - 29,Female,"$10,000 to $24,999",South Atlantic,20
Very worried,Very worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,30 - 44,Female,"$125,000 to $149,999",Pacific,10842
Not so worried,Not so worried,No,No,No,Not at all familiar,Somewhat familiar,60,Female,"$10,000 to $24,999",West South Central,1866
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Male,"$75,000 to $99,999",South Atlantic,20
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,30 - 44,Male,"$10,000 to $24,999",South Atlantic,20
Very worried,Very worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,18 - 29,Female,Prefer not to answer,East North Central,17
Not at all worried,Not at all worried,No,No,No,Not at all familiar,Somewhat familiar,30 - 44,Female,"$25,000 to $49,999",South Atlantic,20
Very worried,Extremely worried,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Not so worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$100,000 to $124,999",East North Central,17
Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$25,000 to $49,999",West North Central,131
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,South Atlantic,20
Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$75,000 to $99,999",West North Central,131
Not so worried,Not at all worried,Yes,No,No,Somewhat familiar,Very familiar,18 - 29,Male,"$25,000 to $49,999",Middle Atlantic,3
Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",Pacific,10842
Not at all worried,Not so worried,No,"Yes, one or more major ones",Yes,Very familiar,Very familiar,60,Male,"$75,000 to $99,999",Pacific,10842
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,West North Central,131
Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$150,000 to $174,999",South Atlantic,20
Extremely worried,Somewhat worried,No,No,No,Very familiar,Somewhat familiar,18 - 29,Female,"$0 to $9,999",West South Central,1866
Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,18 - 29,Female,"$50,000 to $74,999",South Atlantic,20
Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Extremely familiar,Extremely familiar,30 - 44,Female,"$10,000 to $24,999",West South Central,1866
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,60,Female,"$50,000 to $74,999",Pacific,10842
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Female,"$200,000 and up",East North Central,17
Somewhat worried,Very worried,No,"Yes, one or more major ones",Yes,Very familiar,Somewhat familiar,30 - 44,Female,"$150,000 to $174,999",Pacific,10842
Very worried,Very worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Very familiar,60,Female,"$50,000 to $74,999",Pacific,10842
Somewhat worried,Somewhat worried,Yes,No,No,Somewhat familiar,Very familiar,45 - 59,Female,"$50,000 to $74,999",Mountain,1429
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$75,000 to $99,999",East North Central,17
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic,3
Extremely worried,Not so worried,Yes,No,No,Somewhat familiar,Not so familiar,30 - 44,Female,"$75,000 to $99,999",New England,5
Very worried,Extremely worried,Yes,No,Yes,Very familiar,Not so familiar,60,Male,"$0 to $9,999",South Atlantic,20
Not so worried,Somewhat worried,Yes,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$50,000 to $74,999",East South Central,23
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,Prefer not to answer,East South Central,23
Not at all worried,Not at all worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,"$75,000 to $99,999",West South Central,1866
Very worried,Very worried,Yes,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,"$0 to $9,999",New England,5
Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Not at all familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",South Atlantic,20
Not so worried,Extremely worried,No,No,No,Not at all familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,South Atlantic,20
Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$0 to $9,999",Middle Atlantic,3
Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,Mountain,1429
Not at all worried,Not so worried,No,"Yes, one or more major ones",No,Very familiar,Not so familiar,60,Male,"$125,000 to $149,999",West South Central,1866
Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",No,Very familiar,Very familiar,18 - 29,Male,"$75,000 to $99,999",Pacific,10842
Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",East North Central,17
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",Middle Atlantic,3
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,45 - 59,Female,"$25,000 to $49,999",Mountain,1429
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Male,"$10,000 to $24,999",West South Central,1866
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,45 - 59,Female,"$50,000 to $74,999",Pacific,10842
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$75,000 to $99,999",West South Central,1866
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",Middle Atlantic,3
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,60,Female,"$200,000 and up",West North Central,131
Extremely worried,Extremely worried,Yes,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,"$10,000 to $24,999",West South Central,1866
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,60,Male,"$175,000 to $199,999",New England,5
Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$25,000 to $49,999",East North Central,17
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Female,"$125,000 to $149,999",Mountain,1429
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$75,000 to $99,999",Middle Atlantic,3
Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$100,000 to $124,999",South Atlantic,20
Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Somewhat familiar,45 - 59,Female,"$150,000 to $174,999",New England,5
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,30 - 44,Male,"$50,000 to $74,999",East North Central,17
Extremely worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",Pacific,10842
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",New England,5
Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Very familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,Pacific,10842
Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",Yes,Not so familiar,Not so familiar,60,Female,"$10,000 to $24,999",South Atlantic,20
Not so worried,Not so worried,No,No,No,Not so familiar,Not so familiar,45 - 59,Female,"$175,000 to $199,999",West South Central,1866
Not so worried,Somewhat worried,No,"Yes, one or more major ones",No,Very familiar,Very familiar,45 - 59,Male,"$25,000 to $49,999",Mountain,1429
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,East North Central,17
Not so worried,Not so worried,No,No,No,Not at all familiar,Not so familiar,30 - 44,Female,"$100,000 to $124,999",South Atlantic,20
Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Female,"$25,000 to $49,999",Pacific,10842
Extremely worried,Very worried,No,"Yes, one or more major ones",Yes,Somewhat familiar,Not so familiar,30 - 44,Female,"$25,000 to $49,999",NA,NA
Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$200,000 and up",New England,5
Not at all worried,Not at all worried,No,No,Yes,Very familiar,Very familiar,30 - 44,Female,Prefer not to answer,Pacific,10842
Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,30 - 44,Male,Prefer not to answer,South Atlantic,20
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,60,Male,"$200,000 and up",West South Central,1866
Not so worried,Not so worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Somewhat familiar,45 - 59,Female,Prefer not to answer,Pacific,10842
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,45 - 59,Female,"$100,000 to $124,999",East North Central,17
Not so worried,Somewhat worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Male,"$100,000 to $124,999",East North Central,17
Not so worried,Not so worried,No,No,No,Not so familiar,Not at all familiar,60,Female,Prefer not to answer,New England,5
Somewhat worried,Somewhat worried,No,No,Yes,Very familiar,Very familiar,30 - 44,Female,"$0 to $9,999",South Atlantic,20
Not so worried,Not so worried,No,No,No,Very familiar,Very familiar,60,Female,"$175,000 to $199,999",New England,5
Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Not so familiar,45 - 59,Female,"$10,000 to $24,999",Pacific,10842
Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Very familiar,Not at all familiar,45 - 59,Female,"$75,000 to $99,999",West North Central,131
Not at all worried,Not at all worried,Yes,No,No,Very familiar,Not at all familiar,18 - 29,Female,Prefer not to answer,Middle Atlantic,3
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Not so familiar,60,Male,"$50,000 to $74,999",New England,5
Not so worried,Not so worried,No,No,No,Not at all familiar,Not at all familiar,60,Female,"$0 to $9,999",East South Central,23
Somewhat worried,Somewhat worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",South Atlantic,20
Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Extremely familiar,Somewhat familiar,45 - 59,Female,"$50,000 to $74,999",South Atlantic,20
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Female,"$10,000 to $24,999",New England,5
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",Middle Atlantic,3
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",Mountain,1429
Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$150,000 to $174,999",East North Central,17
Not so worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,60,Female,"$10,000 to $24,999",Middle Atlantic,3
Not at all worried,Not so worried,No,No,No,Very familiar,Not so familiar,30 - 44,Female,"$125,000 to $149,999",East North Central,17
Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",South Atlantic,20
Not so worried,Not so worried,No,"Yes, one or more major ones",No,Not so familiar,Not so familiar,60,Male,"$10,000 to $24,999",West South Central,1866
Very worried,Very worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,30 - 44,Male,"$200,000 and up",Pacific,10842
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,30 - 44,Female,"$25,000 to $49,999",East North Central,17
Somewhat worried,Somewhat worried,Yes,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,Prefer not to answer,Middle Atlantic,3
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Male,"$150,000 to $174,999",West South Central,1866
Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,45 - 59,Female,"$0 to $9,999",NA,NA
Not at all worried,Somewhat worried,Yes,No,No,Somewhat familiar,Not so familiar,30 - 44,Female,Prefer not to answer,East North Central,17
Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",Pacific,10842
Not so worried,Somewhat worried,No,No,No,Somewhat familiar,Very familiar,18 - 29,Female,"$100,000 to $124,999",South Atlantic,20
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$75,000 to $99,999",East North Central,17
Somewhat worried,Somewhat worried,Yes,No,Yes,Very familiar,Somewhat familiar,30 - 44,Female,Prefer not to answer,Mountain,1429
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,"$100,000 to $124,999",East North Central,17
Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,18 - 29,Female,"$50,000 to $74,999",West North Central,131
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Male,"$100,000 to $124,999",Middle Atlantic,3
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,45 - 59,Female,"$125,000 to $149,999",South Atlantic,20
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$100,000 to $124,999",Middle Atlantic,3
Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Female,Prefer not to answer,Mountain,1429
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",West South Central,1866
Not at all worried,Not at all worried,No,No,No,Very familiar,Very familiar,60,Male,"$50,000 to $74,999",East North Central,17
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,"$50,000 to $74,999",Middle Atlantic,3
Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$100,000 to $124,999",South Atlantic,20
Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,South Atlantic,20
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$200,000 and up",South Atlantic,20
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",South Atlantic,20
Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Female,"$25,000 to $49,999",South Atlantic,20
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Male,"$100,000 to $124,999",South Atlantic,20
Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not at all familiar,60,Female,"$75,000 to $99,999",Pacific,10842
Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Not so familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Pacific,10842
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$125,000 to $149,999",West South Central,1866
Very worried,Very worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Female,"$125,000 to $149,999",West South Central,1866
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,60,Male,Prefer not to answer,New England,5
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Male,Prefer not to answer,East North Central,17
Very worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Not at all familiar,60,Female,Prefer not to answer,Pacific,10842
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",South Atlantic,20
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,45 - 59,Male,"$125,000 to $149,999",NA,NA
Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic,3
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",East South Central,23
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Female,"$100,000 to $124,999",Pacific,10842
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,18 - 29,Female,"$25,000 to $49,999",East North Central,17
Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,18 - 29,Male,"$150,000 to $174,999",Pacific,10842
Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,"$75,000 to $99,999",West South Central,1866
Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,45 - 59,Female,"$25,000 to $49,999",East North Central,17
Very worried,Very worried,No,"Yes, one or more major ones",Yes,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",Pacific,10842
Not at all worried,Not at all worried,No,No,No,Not at all familiar,Somewhat familiar,18 - 29,Female,"$0 to $9,999",West South Central,1866
Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$25,000 to $49,999",Middle Atlantic,3
Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$25,000 to $49,999",South Atlantic,20
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Male,"$150,000 to $174,999",East South Central,23
Not so worried,Not so worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Not at all familiar,60,Female,"$25,000 to $49,999",Pacific,10842
Extremely worried,Very worried,Yes,No,No,Not at all familiar,Not at all familiar,30 - 44,Female,"$75,000 to $99,999",East North Central,17
Not at all worried,Not at all worried,Yes,No,No,Extremely familiar,Very familiar,45 - 59,Female,"$75,000 to $99,999",West North Central,131
Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,60,Female,"$10,000 to $24,999",South Atlantic,20
Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",New England,5
Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Male,"$25,000 to $49,999",West South Central,1866
Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$10,000 to $24,999",Pacific,10842
Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",West South Central,1866
Not so worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$25,000 to $49,999",South Atlantic,20
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Extremely familiar,Somewhat familiar,30 - 44,Female,Prefer not to answer,West South Central,1866
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$200,000 and up",East North Central,17
Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,60,Female,"$125,000 to $149,999",Pacific,10842
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,45 - 59,Male,"$25,000 to $49,999",East South Central,23
Somewhat worried,Not so worried,No,No,No,Not so familiar,Very familiar,30 - 44,Female,"$200,000 and up",West North Central,131
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$10,000 to $24,999",East North Central,17
Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,45 - 59,Female,"$10,000 to $24,999",Mountain,1429
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,45 - 59,Female,"$125,000 to $149,999",South Atlantic,20
Not at all worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",West South Central,1866
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,18 - 29,Male,"$10,000 to $24,999",Middle Atlantic,3
Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Female,Prefer not to answer,South Atlantic,20
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,Prefer not to answer,East North Central,17
Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic,3
Somewhat worried,Somewhat worried,Yes,No,No,Not at all familiar,Not at all familiar,60,Male,"$10,000 to $24,999",West South Central,1866
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$75,000 to $99,999",Pacific,10842
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,30 - 44,Female,"$200,000 and up",East North Central,17
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,"$10,000 to $24,999",South Atlantic,20
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,60,Female,Prefer not to answer,Mountain,1429
Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Pacific,10842
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,18 - 29,Female,"$25,000 to $49,999",West North Central,131
Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,60,Female,"$25,000 to $49,999",Pacific,10842
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not so familiar,18 - 29,Female,Prefer not to answer,New England,5
Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,30 - 44,Male,"$150,000 to $174,999",Mountain,1429
Not at all worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,60,Female,"$150,000 to $174,999",South Atlantic,20
Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,West South Central,1866
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic,3
Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Female,"$25,000 to $49,999",East North Central,17
Very worried,Extremely worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,45 - 59,Male,"$25,000 to $49,999",East North Central,17
Not at all worried,Not so worried,No,No,Yes,Somewhat familiar,Not at all familiar,45 - 59,Male,"$50,000 to $74,999",West South Central,1866
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,60,Female,"$50,000 to $74,999",Middle Atlantic,3
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Female,"$25,000 to $49,999",Pacific,10842
Somewhat worried,Very worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,Mountain,1429
Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$10,000 to $24,999",East North Central,17
Not so worried,Not at all worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Not at all familiar,60,Male,"$200,000 and up",Pacific,10842
Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,45 - 59,Female,"$200,000 and up",West South Central,1866
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$10,000 to $24,999",New England,5
Somewhat worried,Not so worried,No,No,Yes,Not at all familiar,Not at all familiar,45 - 59,Male,"$0 to $9,999",East North Central,17
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$75,000 to $99,999",South Atlantic,20
Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Very familiar,18 - 29,Female,"$25,000 to $49,999",Mountain,1429
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic,3
Somewhat worried,Somewhat worried,Yes,No,Yes,Not so familiar,Somewhat familiar,45 - 59,Female,"$10,000 to $24,999",South Atlantic,20
Not at all worried,Not at all worried,No,No,No,Not at all familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,Middle Atlantic,3
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,60,Male,"$25,000 to $49,999",South Atlantic,20
Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Female,"$50,000 to $74,999",Mountain,1429
Somewhat worried,Somewhat worried,Yes,No,No,Very familiar,Somewhat familiar,45 - 59,Female,"$200,000 and up",West South Central,1866
Not at all worried,Not at all worried,No,No,No,Not so familiar,Not so familiar,18 - 29,Female,"$100,000 to $124,999",East North Central,17
Not at all worried,Not at all worried,No,No,No,Very familiar,Very familiar,45 - 59,Female,"$25,000 to $49,999",South Atlantic,20
